Geographic Area,Bi-Annual Delta,Annual Delta
"New York city, New York",-31212,-305465
"Los Angeles city, California",-4152,-40537
"Chicago city, Illinois",-5501,-45175
"Houston city, Texas",-2765,-11777
"Phoenix city, Arizona",3606,13224
"Philadelphia city, Pennsylvania",-2792,-24754
"San Antonio city, Texas",3957,13626
"San Diego city, California",-528,-3783
"Dallas city, Texas",-1208,-14777
"San Jose city, California",-3637,-27419
"Austin city, Texas",3572,1056
"Jacksonville city, Florida",886,4151
"Fort Worth city, Texas",4215,12916
"Columbus city, Ohio",188,668
"Indianapolis city (balance), Indiana",-370,-5343
"Charlotte city, North Carolina",2206,2962
"San Francisco city, California",-3951,-54813
"Seattle city, Washington",3015,-4253
"Denver city, Colorado",2108,-6167
"Oklahoma City city, Oklahoma",1373,4965
"Nashville-Davidson metropolitan government (balance), Tennessee",-256,-10397
"El Paso city, Texas",11,-183
"Washington city, District of Columbia",548,-20043
"Boston city, Massachusetts",-1944,-19496
"Las Vegas city, Nevada",1467,3498
"Portland city, Oregon",299,-11226
"Detroit city, Michigan",-1438,-5712
"Louisville/Jefferson County metro government (balance), Kentucky",-652,-3443
"Memphis city, Tennessee",-881,-3199
"Baltimore city, Maryland",-2576,-6634
"Milwaukee city, Wisconsin",-934,-6971
"Albuquerque city, New Mexico",85,-2049
"Fresno city, California",-2,2351
"Tucson city, Arizona",510,1383
"Sacramento city, California",662,1625
"Mesa city, Arizona",1360,3615
"Kansas City city, Missouri",-37,462
"Atlanta city, Georgia",984,-3125
"Omaha city, Nebraska",541,-3868
"Colorado Springs city, Colorado",953,3743
"Raleigh city, North Carolina",-167,1699
"Virginia Beach city, Virginia",-97,-1701
"Long Beach city, California",-1543,-8697
"Miami city, Florida",-376,-1999
"Oakland city, California",-8,-5518
"Minneapolis city, Minnesota",611,-3678
"Tulsa city, Oklahoma",171,-1228
"Bakersfield city, California",494,4214
"Wichita city, Kansas",47,-1418
"Arlington city, Texas",-233,-1199
"Aurora city, Colorado",339,2767
"Tampa city, Florida",1211,3070
"New Orleans city, Louisiana",-715,-6311
"Cleveland city, Ohio",-1059,-4041
"Anaheim city, California",74,-1149
"Urban Honolulu CDP, Hawaii",-1143,-4290
"Henderson city, Nevada",1534,3123
"Stockton city, California",-14,1375
